 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.344         0.344         0.344         0.000         0.001     3.1     2   4    coarse levels           
       0.219         0.220         0.220         0.000         0.001     2.0     4   2    refine                  
       0.189         0.189         0.189         0.000         0.000     1.7     3   4    load balance            
       0.797         0.802         0.804         0.003         0.003     7.3     1   3    particles               
       0.299         0.300         0.301         0.001         0.002     2.7     4   1    io                      
       0.077         0.081         0.084         0.003         0.032     0.7     1   2    hydro - set unew        
       0.071         0.076         0.086         0.006         0.077     0.7     2   1    courant                 
       8.199         8.224         8.246         0.020         0.002    75.3     2   4    hydro - godunov         
       0.366         0.387         0.413         0.019         0.050     3.5     4   2    hydro - rev ghostzones  
       0.062         0.064         0.065         0.001         0.022     0.6     3   1    hydro - set uold        
       0.015         0.016         0.016         0.001         0.035     0.1     4   3    cooling                 
       0.100         0.101         0.102         0.001         0.007     0.9     3   4    hydro - ghostzones      
       0.114         0.114         0.114         0.000         0.001     1.0     2   1    flag                    
      10.925     100.0    TOTAL
