 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.434         1.435         1.437         0.001         0.001     3.6     2   4    coarse levels           
       0.773         0.774         0.775         0.001         0.001     1.9     4   1    refine                  
       0.625         0.625         0.625         0.000         0.000     1.6     3   4    load balance            
       3.095         3.126         3.171         0.028         0.009     7.8     1   4    particles               
       1.056         1.058         1.062         0.003         0.003     2.6     3   1    io                      
       0.283         0.297         0.305         0.008         0.029     0.7     1   2    hydro - set unew        
       0.319         0.373         0.428         0.039         0.104     0.9     4   1    courant                 
      29.700        29.838        29.997         0.118         0.004    74.4     2   4    hydro - godunov         
       1.341         1.493         1.638         0.114         0.076     3.7     4   2    hydro - rev ghostzones  
       0.224         0.231         0.236         0.004         0.019     0.6     3   1    hydro - set uold        
       0.054         0.055         0.058         0.002         0.029     0.1     4   3    cooling                 
       0.386         0.388         0.391         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.396         0.397         0.397         0.000         0.001     1.0     4   1    flag                    
      40.125     100.0    TOTAL
