 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.746         1.748         1.750         0.001         0.001     3.5     2   4    coarse levels           
       0.955         0.956         0.957         0.001         0.001     1.9     4   1    refine                  
       0.771         0.771         0.771         0.000         0.000     1.5     1   2    load balance            
       3.804         3.838         3.885         0.030         0.008     7.7     1   4    particles               
       1.299         1.301         1.307         0.003         0.002     2.6     2   1    io                      
       0.353         0.369         0.379         0.010         0.027     0.7     1   2    hydro - set unew        
       0.385         0.442         0.505         0.043         0.096     0.9     4   1    courant                 
      37.249        37.414        37.641         0.160         0.004    74.7     2   4    hydro - godunov         
       1.632         1.852         2.026         0.154         0.083     3.7     4   2    hydro - rev ghostzones  
       0.280         0.289         0.294         0.006         0.019     0.6     3   1    hydro - set uold        
       0.069         0.071         0.074         0.002         0.028     0.1     4   3    cooling                 
       0.480         0.483         0.486         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.493         0.494         0.495         0.001         0.002     1.0     4   1    flag                    
      50.073     100.0    TOTAL
