 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.451         1.452         1.454         0.001         0.001     3.6     2   4    coarse levels           
       0.783         0.784         0.785         0.001         0.001     1.9     4   1    refine                  
       0.637         0.637         0.637         0.000         0.000     1.6     3   4    load balance            
       3.134         3.165         3.211         0.029         0.009     7.8     1   4    particles               
       1.070         1.072         1.076         0.003         0.003     2.6     3   1    io                      
       0.287         0.301         0.310         0.009         0.029     0.7     1   2    hydro - set unew        
       0.322         0.376         0.432         0.039         0.104     0.9     4   1    courant                 
      30.216        30.358        30.518         0.120         0.004    74.4     2   4    hydro - godunov         
       1.356         1.510         1.659         0.116         0.077     3.7     4   2    hydro - rev ghostzones  
       0.227         0.234         0.239         0.004         0.019     0.6     3   1    hydro - set uold        
       0.054         0.056         0.058         0.002         0.028     0.1     4   3    cooling                 
       0.390         0.392         0.395         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.402         0.402         0.403         0.000         0.001     1.0     4   1    flag                    
      40.777     100.0    TOTAL
