 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.017         1.018         1.019         0.001         0.001     3.8     2   4    coarse levels           
       0.519         0.520         0.521         0.001         0.001     1.9     4   1    refine                  
       0.414         0.414         0.414         0.000         0.000     1.5     3   4    load balance            
       2.106         2.120         2.128         0.008         0.004     7.9     1   3    particles               
       0.722         0.723         0.726         0.002         0.002     2.7     3   1    io                      
       0.184         0.193         0.199         0.006         0.033     0.7     1   3    hydro - set unew        
       0.190         0.202         0.231         0.017         0.083     0.8     3   1    courant                 
      19.760        19.838        19.928         0.066         0.003    74.1     2   4    hydro - godunov         
       0.893         0.979         1.061         0.064         0.065     3.7     4   2    hydro - rev ghostzones  
       0.149         0.154         0.158         0.003         0.021     0.6     3   1    hydro - set uold        
       0.036         0.037         0.039         0.001         0.028     0.1     4   3    cooling                 
       0.280         0.281         0.283         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.269         0.270         0.270         0.000         0.002     1.0     3   1    flag                    
      26.773     100.0    TOTAL
