 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.865         0.865         0.866         0.001         0.001     4.0     1   4    coarse levels           
       0.421         0.422         0.423         0.000         0.001     2.0     4   1    refine                  
       0.334         0.334         0.334         0.000         0.000     1.5     3   4    load balance            
       1.591         1.601         1.608         0.006         0.004     7.4     1   3    particles               
       0.601         0.602         0.604         0.001         0.002     2.8     3   1    io                      
       0.148         0.155         0.161         0.005         0.034     0.7     1   2    hydro - set unew        
       0.151         0.161         0.183         0.013         0.082     0.7     3   1    courant                 
      15.988        16.052        16.111         0.051         0.003    74.3     2   4    hydro - godunov         
       0.732         0.788         0.855         0.049         0.062     3.6     4   2    hydro - rev ghostzones  
       0.121         0.124         0.128         0.002         0.019     0.6     3   1    hydro - set uold        
       0.030         0.031         0.032         0.001         0.027     0.1     4   3    cooling                 
       0.230         0.231         0.233         0.001         0.005     1.1     1   4    hydro - ghostzones      
       0.216         0.216         0.217         0.000         0.002     1.0     2   1    flag                    
      21.601     100.0    TOTAL
