 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.594         0.595         0.595         0.001         0.001     3.7     2   4    coarse levels           
       0.316         0.317         0.317         0.000         0.001     2.0     4   1    refine                  
       0.265         0.265         0.265         0.000         0.000     1.7     3   4    load balance            
       1.168         1.175         1.180         0.005         0.004     7.4     1   3    particles               
       0.457         0.458         0.460         0.001         0.002     2.9     3   1    io                      
       0.111         0.117         0.122         0.004         0.035     0.7     1   2    hydro - set unew        
       0.109         0.115         0.131         0.009         0.080     0.7     3   1    courant                 
      11.832        11.868        11.912         0.036         0.003    74.4     2   4    hydro - godunov         
       0.533         0.575         0.614         0.034         0.059     3.6     4   2    hydro - rev ghostzones  
       0.089         0.092         0.095         0.002         0.024     0.6     3   1    hydro - set uold        
       0.022         0.023         0.024         0.001         0.031     0.1     4   3    cooling                 
       0.176         0.177         0.178         0.001         0.005     1.1     3   4    hydro - ghostzones      
       0.160         0.161         0.161         0.000         0.002     1.0     4   1    flag                    
      15.950     100.0    TOTAL
