 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.235         1.236         1.238         0.001         0.001     3.6     2   4    coarse levels           
       0.652         0.653         0.654         0.001         0.001     1.9     4   1    refine                  
       0.517         0.517         0.517         0.000         0.000     1.5     3   4    load balance            
       2.622         2.652         2.698         0.029         0.011     7.8     1   4    particles               
       0.909         0.910         0.914         0.002         0.002     2.7     3   1    io                      
       0.237         0.248         0.256         0.007         0.029     0.7     1   2    hydro - set unew        
       0.268         0.321         0.370         0.036         0.112     0.9     4   1    courant                 
      25.148        25.251        25.368         0.093         0.004    74.3     2   4    hydro - godunov         
       1.117         1.230         1.340         0.090         0.073     3.6     4   2    hydro - rev ghostzones  
       0.189         0.195         0.201         0.004         0.023     0.6     3   1    hydro - set uold        
       0.046         0.047         0.049         0.001         0.029     0.1     4   3    cooling                 
       0.335         0.337         0.339         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.338         0.338         0.339         0.001         0.002     1.0     4   1    flag                    
      33.966     100.0    TOTAL
