 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.600         1.602         1.603         0.001         0.001     3.5     2   4    coarse levels           
       0.872         0.874         0.874         0.001         0.001     1.9     4   1    refine                  
       0.696         0.696         0.696         0.000         0.000     1.5     3   2    load balance            
       3.497         3.530         3.578         0.030         0.008     7.7     1   4    particles               
       1.191         1.193         1.198         0.003         0.002     2.6     2   1    io                      
       0.321         0.337         0.346         0.010         0.029     0.7     1   2    hydro - set unew        
       0.354         0.411         0.472         0.042         0.102     0.9     4   1    courant                 
      33.851        34.021        34.231         0.152         0.004    74.6     2   4    hydro - godunov         
       1.493         1.696         1.874         0.147         0.087     3.7     4   2    hydro - rev ghostzones  
       0.255         0.263         0.268         0.005         0.019     0.6     3   1    hydro - set uold        
       0.063         0.064         0.067         0.002         0.026     0.1     4   3    cooling                 
       0.441         0.443         0.446         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.449         0.450         0.451         0.001         0.001     1.0     4   1    flag                    
      45.619     100.0    TOTAL
