 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.552         1.553         1.555         0.001         0.001     3.5     2   4    coarse levels           
       0.842         0.844         0.845         0.001         0.001     1.9     4   1    refine                  
       0.685         0.685         0.685         0.000         0.000     1.6     3   4    load balance            
       3.377         3.409         3.457         0.030         0.009     7.7     1   4    particles               
       1.155         1.157         1.162         0.003         0.002     2.6     2   1    io                      
       0.309         0.325         0.334         0.009         0.029     0.7     1   2    hydro - set unew        
       0.343         0.399         0.459         0.041         0.103     0.9     4   1    courant                 
      32.631        32.791        32.974         0.139         0.004    74.5     2   4    hydro - godunov         
       1.448         1.625         1.793         0.134         0.082     3.7     4   2    hydro - rev ghostzones  
       0.246         0.254         0.258         0.005         0.018     0.6     3   1    hydro - set uold        
       0.060         0.061         0.064         0.002         0.030     0.1     4   3    cooling                 
       0.421         0.424         0.426         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.434         0.435         0.436         0.001         0.001     1.0     4   1    flag                    
      44.000     100.0    TOTAL
