 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.560         0.561         0.561         0.000         0.001     3.8     2   4    coarse levels           
       0.296         0.296         0.296         0.000         0.001     2.0     4   2    refine                  
       0.237         0.237         0.237         0.000         0.000     1.6     3   4    load balance            
       1.085         1.091         1.096         0.004         0.004     7.4     1   3    particles               
       0.401         0.402         0.404         0.001         0.002     2.7     3   1    io                      
       0.102         0.108         0.112         0.004         0.035     0.7     1   2    hydro - set unew        
       0.100         0.106         0.121         0.009         0.082     0.7     3   1    courant                 
      11.006        11.047        11.084         0.033         0.003    74.5     2   4    hydro - godunov         
       0.503         0.539         0.583         0.032         0.059     3.6     4   2    hydro - rev ghostzones  
       0.083         0.086         0.088         0.002         0.022     0.6     3   1    hydro - set uold        
       0.020         0.021         0.022         0.001         0.038     0.1     4   3    cooling                 
       0.164         0.165         0.166         0.001         0.006     1.1     3   4    hydro - ghostzones      
       0.150         0.150         0.150         0.000         0.002     1.0     4   1    flag                    
      14.822     100.0    TOTAL
