 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.054         0.054         0.054         0.000         0.001     2.8     2   4    coarse levels           
       0.042         0.042         0.042         0.000         0.002     2.2     4   2    refine                  
       0.037         0.037         0.037         0.000         0.000     1.9     1   4    load balance            
       0.137         0.138         0.139         0.001         0.005     7.2     4   2    particles               
       0.054         0.054         0.055         0.000         0.002     2.8     4   1    io                      
       0.014         0.015         0.016         0.001         0.036     0.8     4   2    hydro - set unew        
       0.008         0.009         0.011         0.001         0.098     0.5     2   1    courant                 
       1.436         1.445         1.452         0.006         0.004    75.5     1   3    hydro - godunov         
       0.064         0.070         0.079         0.006         0.079     3.7     3   1    hydro - rev ghostzones  
       0.010         0.011         0.012         0.001         0.055     0.6     2   4    hydro - set uold        
       0.003         0.003         0.003         0.000         0.045     0.1     4   2    cooling                 
       0.016         0.016         0.016         0.000         0.008     0.8     2   4    hydro - ghostzones      
       0.018         0.018         0.018         0.000         0.001     0.9     1   4    flag                    
       1.915     100.0    TOTAL
