 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.051         1.052         1.053         0.001         0.001     3.8     2   4    coarse levels           
       0.540         0.541         0.542         0.001         0.001     1.9     4   1    refine                  
       0.432         0.432         0.432         0.000         0.000     1.5     3   4    load balance            
       2.193         2.207         2.216         0.009         0.004     7.9     1   3    particles               
       0.755         0.756         0.759         0.002         0.002     2.7     3   1    io                      
       0.190         0.200         0.206         0.007         0.033     0.7     1   2    hydro - set unew        
       0.197         0.210         0.239         0.017         0.081     0.8     3   1    courant                 
      20.596        20.673        20.767         0.067         0.003    74.1     2   4    hydro - godunov         
       0.929         1.019         1.100         0.065         0.064     3.7     4   2    hydro - rev ghostzones  
       0.156         0.161         0.166         0.004         0.022     0.6     3   1    hydro - set uold        
       0.038         0.039         0.041         0.001         0.029     0.1     4   3    cooling                 
       0.288         0.290         0.292         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.281         0.281         0.282         0.000         0.001     1.0     3   1    flag                    
      27.886     100.0    TOTAL
