 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.583         1.585         1.586         0.001         0.001     3.5     2   4    coarse levels           
       0.862         0.863         0.864         0.001         0.001     1.9     4   1    refine                  
       0.696         0.696         0.696         0.000         0.000     1.5     3   2    load balance            
       3.456         3.488         3.536         0.030         0.009     7.7     1   4    particles               
       1.175         1.177         1.182         0.003         0.002     2.6     2   1    io                      
       0.317         0.332         0.341         0.010         0.029     0.7     1   2    hydro - set unew        
       0.348         0.405         0.466         0.042         0.103     0.9     4   1    courant                 
      33.438        33.609        33.804         0.145         0.004    74.6     2   4    hydro - godunov         
       1.477         1.665         1.844         0.140         0.084     3.7     4   2    hydro - rev ghostzones  
       0.252         0.260         0.264         0.005         0.019     0.6     3   1    hydro - set uold        
       0.062         0.063         0.066         0.002         0.024     0.1     4   3    cooling                 
       0.433         0.435         0.438         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.445         0.445         0.446         0.001         0.001     1.0     4   1    flag                    
      45.065     100.0    TOTAL
