 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.082         1.083         1.084         0.001         0.001     3.7     2   4    coarse levels           
       0.560         0.561         0.561         0.001         0.001     1.9     4   1    refine                  
       0.442         0.442         0.442         0.000         0.000     1.5     3   4    load balance            
       2.275         2.289         2.298         0.009         0.004     7.9     1   3    particles               
       0.786         0.787         0.790         0.002         0.002     2.7     3   1    io                      
       0.199         0.209         0.216         0.007         0.032     0.7     1   2    hydro - set unew        
       0.205         0.218         0.247         0.017         0.079     0.8     3   1    courant                 
      21.396        21.478        21.582         0.074         0.003    74.2     2   4    hydro - godunov         
       0.956         1.056         1.143         0.071         0.067     3.6     4   2    hydro - rev ghostzones  
       0.162         0.167         0.172         0.003         0.021     0.6     3   1    hydro - set uold        
       0.040         0.041         0.043         0.001         0.027     0.1     1   3    cooling                 
       0.296         0.298         0.299         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.290         0.290         0.291         0.000         0.001     1.0     3   1    flag                    
      28.944     100.0    TOTAL
