 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.518         1.519         1.521         0.001         0.001     3.5     2   4    coarse levels           
       0.823         0.825         0.826         0.001         0.001     1.9     4   1    refine                  
       0.661         0.661         0.661         0.000         0.000     1.5     3   4    load balance            
       3.291         3.323         3.371         0.030         0.009     7.8     1   4    particles               
       1.127         1.128         1.133         0.003         0.003     2.6     3   1    io                      
       0.302         0.317         0.325         0.009         0.029     0.7     1   2    hydro - set unew        
       0.334         0.391         0.450         0.041         0.104     0.9     4   1    courant                 
      31.787        31.936        32.109         0.131         0.004    74.5     2   4    hydro - godunov         
       1.420         1.587         1.744         0.126         0.080     3.7     4   2    hydro - rev ghostzones  
       0.239         0.247         0.252         0.005         0.019     0.6     3   1    hydro - set uold        
       0.058         0.059         0.063         0.002         0.032     0.1     4   3    cooling                 
       0.411         0.413         0.416         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.424         0.425         0.425         0.001         0.001     1.0     4   1    flag                    
      42.870     100.0    TOTAL
