 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.229         0.229         0.229         0.000         0.001     3.1     2   3    coarse levels           
       0.147         0.147         0.148         0.000         0.001     2.0     4   2    refine                  
       0.135         0.135         0.135         0.000         0.000     1.8     3   4    load balance            
       0.530         0.532         0.533         0.001         0.002     7.3     1   3    particles               
       0.190         0.190         0.191         0.000         0.003     2.6     2   1    io                      
       0.052         0.054         0.056         0.002         0.033     0.7     1   2    hydro - set unew        
       0.046         0.050         0.056         0.004         0.073     0.7     2   1    courant                 
       5.484         5.507         5.528         0.015         0.003    75.5     2   4    hydro - godunov         
       0.234         0.254         0.278         0.016         0.062     3.5     4   2    hydro - rev ghostzones  
       0.040         0.040         0.041         0.000         0.011     0.6     3   1    hydro - set uold        
       0.010         0.010         0.011         0.000         0.016     0.1     4   3    cooling                 
       0.066         0.066         0.067         0.000         0.003     0.9     3   4    hydro - ghostzones      
       0.077         0.077         0.078         0.000         0.003     1.1     3   1    flag                    
       7.298     100.0    TOTAL
