 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.641         0.642         0.642         0.001         0.001     3.6     2   4    coarse levels           
       0.350         0.351         0.351         0.000         0.001     2.0     4   1    refine                  
       0.287         0.287         0.287         0.000         0.000     1.6     3   4    load balance            
       1.283         1.292         1.298         0.006         0.004     7.3     1   3    particles               
       0.504         0.505         0.507         0.001         0.002     2.9     3   1    io                      
       0.123         0.129         0.135         0.004         0.035     0.7     1   2    hydro - set unew        
       0.121         0.129         0.147         0.010         0.081     0.7     3   1    courant                 
      13.093        13.133        13.178         0.039         0.003    74.6     2   4    hydro - godunov         
       0.588         0.630         0.673         0.037         0.058     3.6     4   2    hydro - rev ghostzones  
       0.098         0.101         0.104         0.002         0.021     0.6     3   1    hydro - set uold        
       0.024         0.025         0.026         0.001         0.032     0.1     4   3    cooling                 
       0.189         0.190         0.191         0.001         0.006     1.1     3   4    hydro - ghostzones      
       0.177         0.177         0.178         0.000         0.002     1.0     4   1    flag                    
      17.605     100.0    TOTAL
