 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.618         1.620         1.622         0.001         0.001     3.5     2   4    coarse levels           
       0.883         0.884         0.885         0.001         0.001     1.9     4   1    refine                  
       0.712         0.712         0.712         0.000         0.000     1.5     3   2    load balance            
       3.531         3.563         3.612         0.030         0.008     7.7     1   4    particles               
       1.207         1.209         1.214         0.003         0.002     2.6     2   1    io                      
       0.324         0.340         0.349         0.010         0.029     0.7     1   2    hydro - set unew        
       0.356         0.413         0.474         0.042         0.101     0.9     4   1    courant                 
      34.241        34.412        34.629         0.155         0.004    74.6     2   4    hydro - godunov         
       1.508         1.718         1.898         0.150         0.087     3.7     4   2    hydro - rev ghostzones  
       0.258         0.266         0.271         0.005         0.019     0.6     3   1    hydro - set uold        
       0.063         0.065         0.067         0.002         0.025     0.1     4   3    cooling                 
       0.445         0.447         0.450         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.455         0.456         0.457         0.001         0.001     1.0     4   1    flag                    
      46.148     100.0    TOTAL
