 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.931         0.932         0.933         0.001         0.001     3.9     2   4    coarse levels           
       0.465         0.466         0.466         0.000         0.001     1.9     4   1    refine                  
       0.375         0.375         0.375         0.000         0.000     1.6     3   4    load balance            
       1.888         1.898         1.906         0.007         0.003     7.9     1   3    particles               
       0.653         0.654         0.656         0.002         0.002     2.7     3   1    io                      
       0.165         0.174         0.180         0.006         0.035     0.7     1   2    hydro - set unew        
       0.169         0.180         0.206         0.015         0.084     0.8     3   1    courant                 
      17.662        17.739        17.809         0.060         0.003    74.0     2   4    hydro - godunov         
       0.803         0.870         0.951         0.058         0.067     3.6     4   2    hydro - rev ghostzones  
       0.135         0.138         0.142         0.002         0.018     0.6     3   1    hydro - set uold        
       0.033         0.034         0.035         0.001         0.029     0.1     4   3    cooling                 
       0.251         0.252         0.254         0.001         0.005     1.1     1   4    hydro - ghostzones      
       0.236         0.236         0.237         0.000         0.002     1.0     2   1    flag                    
      23.969     100.0    TOTAL
