 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.306         1.307         1.309         0.001         0.001     3.6     2   4    coarse levels           
       0.699         0.700         0.701         0.001         0.001     1.9     4   1    refine                  
       0.574         0.574         0.574         0.000         0.000     1.6     3   4    load balance            
       2.794         2.824         2.871         0.029         0.010     7.8     1   4    particles               
       0.959         0.960         0.964         0.002         0.002     2.6     3   1    io                      
       0.254         0.266         0.273         0.008         0.028     0.7     1   2    hydro - set unew        
       0.288         0.342         0.393         0.037         0.109     0.9     4   1    courant                 
      26.887        26.984        27.118         0.097         0.004    74.3     2   4    hydro - godunov         
       1.201         1.329         1.434         0.092         0.069     3.7     4   2    hydro - rev ghostzones  
       0.202         0.209         0.215         0.005         0.022     0.6     3   1    hydro - set uold        
       0.049         0.050         0.052         0.001         0.028     0.1     4   3    cooling                 
       0.353         0.355         0.358         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.360         0.361         0.362         0.001         0.001     1.0     4   1    flag                    
      36.294     100.0    TOTAL
