 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.481         1.483         1.484         0.001         0.001     3.5     2   4    coarse levels           
       0.803         0.804         0.805         0.001         0.001     1.9     4   1    refine                  
       0.649         0.649         0.649         0.000         0.000     1.6     3   4    load balance            
       3.207         3.238         3.285         0.029         0.009     7.8     1   4    particles               
       1.099         1.101         1.106         0.003         0.003     2.6     3   1    io                      
       0.294         0.309         0.317         0.009         0.029     0.7     1   2    hydro - set unew        
       0.326         0.382         0.440         0.040         0.105     0.9     4   1    courant                 
      30.962        31.111        31.276         0.128         0.004    74.5     2   4    hydro - godunov         
       1.386         1.545         1.701         0.124         0.080     3.7     4   2    hydro - rev ghostzones  
       0.233         0.240         0.245         0.005         0.019     0.6     3   1    hydro - set uold        
       0.056         0.057         0.060         0.002         0.030     0.1     4   3    cooling                 
       0.399         0.401         0.404         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.412         0.412         0.413         0.000         0.001     1.0     4   1    flag                    
      41.771     100.0    TOTAL
