 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.797         0.798         0.799         0.001         0.001     4.1     2   4    coarse levels           
       0.384         0.385         0.385         0.000         0.001     2.0     4   1    refine                  
       0.310         0.310         0.310         0.000         0.000     1.6     3   4    load balance            
       1.425         1.435         1.441         0.006         0.004     7.4     1   3    particles               
       0.543         0.543         0.545         0.001         0.002     2.8     3   1    io                      
       0.134         0.141         0.147         0.005         0.036     0.7     1   2    hydro - set unew        
       0.138         0.146         0.166         0.012         0.081     0.7     2   1    courant                 
      14.447        14.485        14.522         0.034         0.002    74.2     2   4    hydro - godunov         
       0.670         0.705         0.745         0.032         0.046     3.6     4   2    hydro - rev ghostzones  
       0.108         0.111         0.115         0.003         0.024     0.6     3   1    hydro - set uold        
       0.027         0.028         0.029         0.001         0.033     0.1     4   3    cooling                 
       0.210         0.212         0.214         0.001         0.006     1.1     1   4    hydro - ghostzones      
       0.194         0.195         0.195         0.000         0.002     1.0     2   1    flag                    
      19.509     100.0    TOTAL
