 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.447         0.448         0.448         0.000         0.001     3.2     2   4    coarse levels           
       0.283         0.284         0.284         0.000         0.001     2.0     4   1    refine                  
       0.237         0.237         0.237         0.000         0.000     1.7     3   4    load balance            
       1.037         1.043         1.048         0.004         0.004     7.4     1   3    particles               
       0.387         0.388         0.389         0.001         0.002     2.8     3   1    io                      
       0.097         0.102         0.107         0.004         0.034     0.7     1   2    hydro - set unew        
       0.094         0.100         0.114         0.008         0.080     0.7     3   1    courant                 
      10.551        10.587        10.617         0.028         0.003    75.2     2   4    hydro - godunov         
       0.483         0.512         0.551         0.027         0.053     3.6     4   2    hydro - rev ghostzones  
       0.080         0.082         0.084         0.002         0.021     0.6     3   1    hydro - set uold        
       0.020         0.020         0.021         0.001         0.029     0.1     4   3    cooling                 
       0.127         0.128         0.129         0.001         0.006     0.9     3   4    hydro - ghostzones      
       0.143         0.143         0.144         0.000         0.002     1.0     4   1    flag                    
      14.086     100.0    TOTAL
