 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.118         1.119         1.120         0.001         0.001     3.7     2   4    coarse levels           
       0.580         0.581         0.582         0.001         0.001     1.9     4   1    refine                  
       0.469         0.469         0.469         0.000         0.000     1.6     3   4    load balance            
       2.351         2.365         2.374         0.009         0.004     7.9     1   3    particles               
       0.813         0.814         0.817         0.002         0.002     2.7     3   1    io                      
       0.208         0.218         0.225         0.007         0.031     0.7     1   2    hydro - set unew        
       0.214         0.226         0.257         0.018         0.078     0.8     3   1    courant                 
      22.254        22.341        22.448         0.077         0.003    74.3     2   4    hydro - godunov         
       0.996         1.099         1.192         0.075         0.068     3.7     4   2    hydro - rev ghostzones  
       0.168         0.173         0.178         0.004         0.021     0.6     3   1    hydro - set uold        
       0.041         0.042         0.044         0.001         0.030     0.1     4   3    cooling                 
       0.305         0.307         0.309         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.301         0.301         0.302         0.000         0.001     1.0     3   1    flag                    
      30.082     100.0    TOTAL
