 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.348         1.349         1.350         0.001         0.001     3.6     2   4    coarse levels           
       0.722         0.723         0.724         0.001         0.001     1.9     4   1    refine                  
       0.586         0.586         0.586         0.000         0.000     1.6     3   4    load balance            
       2.901         2.932         2.977         0.028         0.009     7.8     1   4    particles               
       0.991         0.993         0.997         0.002         0.002     2.6     3   1    io                      
       0.264         0.277         0.285         0.008         0.029     0.7     1   2    hydro - set unew        
       0.300         0.353         0.406         0.038         0.106     0.9     4   1    courant                 
      27.737        27.852        27.990         0.105         0.004    74.3     2   4    hydro - godunov         
       1.251         1.383         1.505         0.100         0.073     3.7     4   2    hydro - rev ghostzones  
       0.209         0.215         0.221         0.004         0.020     0.6     3   1    hydro - set uold        
       0.050         0.052         0.054         0.001         0.027     0.1     4   3    cooling                 
       0.365         0.367         0.370         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.371         0.372         0.373         0.001         0.001     1.0     4   1    flag                    
      37.486     100.0    TOTAL
