 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.868         1.870         1.872         0.002         0.001     3.5     2   4    coarse levels           
       1.027         1.029         1.030         0.001         0.001     1.9     4   1    refine                  
       0.826         0.826         0.826         0.000         0.000     1.5     3   4    load balance            
       4.082         4.116         4.165         0.031         0.007     7.6     1   4    particles               
       1.392         1.394         1.399         0.003         0.002     2.6     2   1    io                      
       0.380         0.397         0.407         0.011         0.027     0.7     1   2    hydro - set unew        
       0.413         0.470         0.534         0.043         0.092     0.9     4   1    courant                 
      40.079        40.249        40.498         0.174         0.004    74.8     2   4    hydro - godunov         
       1.754         1.995         2.174         0.167         0.084     3.7     4   2    hydro - rev ghostzones  
       0.301         0.310         0.316         0.005         0.018     0.6     3   1    hydro - set uold        
       0.075         0.076         0.080         0.002         0.025     0.1     4   3    cooling                 
       0.515         0.518         0.521         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.531         0.532         0.533         0.001         0.002     1.0     4   1    flag                    
      53.829     100.0    TOTAL
