 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.708         1.710         1.712         0.001         0.001     3.5     2   4    coarse levels           
       0.934         0.935         0.936         0.001         0.001     1.9     4   1    refine                  
       0.747         0.747         0.747         0.000         0.000     1.5     3   2    load balance            
       3.725         3.758         3.806         0.030         0.008     7.7     1   4    particles               
       1.271         1.273         1.279         0.003         0.002     2.6     2   1    io                      
       0.344         0.360         0.370         0.010         0.028     0.7     1   2    hydro - set unew        
       0.374         0.432         0.495         0.043         0.099     0.9     4   1    courant                 
      36.404        36.568        36.788         0.155         0.004    74.7     2   4    hydro - godunov         
       1.599         1.813         1.986         0.150         0.083     3.7     4   2    hydro - rev ghostzones  
       0.274         0.283         0.288         0.006         0.020     0.6     3   1    hydro - set uold        
       0.068         0.069         0.073         0.002         0.028     0.1     4   3    cooling                 
       0.471         0.474         0.477         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.483         0.484         0.485         0.001         0.002     1.0     4   1    flag                    
      48.950     100.0    TOTAL
