 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.286         1.288         1.289         0.001         0.001     3.6     2   4    coarse levels           
       0.686         0.688         0.688         0.001         0.001     1.9     4   1    refine                  
       0.550         0.550         0.550         0.000         0.000     1.5     3   4    load balance            
       2.749         2.780         2.827         0.029         0.010     7.8     1   4    particles               
       0.943         0.944         0.948         0.002         0.002     2.6     3   1    io                      
       0.249         0.261         0.269         0.008         0.029     0.7     1   2    hydro - set unew        
       0.283         0.336         0.387         0.037         0.109     0.9     4   1    courant                 
      26.409        26.508        26.629         0.091         0.003    74.4     2   4    hydro - godunov         
       1.181         1.297         1.403         0.087         0.067     3.6     4   2    hydro - rev ghostzones  
       0.198         0.205         0.211         0.005         0.022     0.6     3   1    hydro - set uold        
       0.048         0.049         0.051         0.001         0.028     0.1     4   3    cooling                 
       0.348         0.350         0.352         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.354         0.354         0.355         0.001         0.001     1.0     4   1    flag                    
      35.641     100.0    TOTAL
