 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.194         0.194         0.194         0.000         0.001     3.1     2   3    coarse levels           
       0.125         0.126         0.126         0.000         0.001     2.0     4   2    refine                  
       0.107         0.107         0.107         0.000         0.000     1.7     3   4    load balance            
       0.449         0.452         0.454         0.002         0.004     7.3     1   3    particles               
       0.166         0.166         0.167         0.000         0.003     2.7     2   1    io                      
       0.044         0.045         0.048         0.002         0.036     0.7     1   2    hydro - set unew        
       0.037         0.041         0.047         0.004         0.088     0.7     2   1    courant                 
       4.680         4.698         4.715         0.014         0.003    75.6     2   4    hydro - godunov         
       0.197         0.214         0.232         0.015         0.072     3.4     4   2    hydro - rev ghostzones  
       0.034         0.035         0.036         0.001         0.020     0.6     3   1    hydro - set uold        
       0.009         0.009         0.009         0.000         0.026     0.1     1   2    cooling                 
       0.056         0.056         0.056         0.000         0.004     0.9     2   1    hydro - ghostzones      
       0.065         0.065         0.066         0.000         0.003     1.1     3   1    flag                    
       6.213     100.0    TOTAL
