 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.210         0.210         0.210         0.000         0.001     3.1     2   3    coarse levels           
       0.135         0.135         0.135         0.000         0.001     2.0     4   2    refine                  
       0.119         0.119         0.119         0.000         0.000     1.8     3   4    load balance            
       0.483         0.485         0.487         0.002         0.003     7.3     1   3    particles               
       0.177         0.177         0.178         0.000         0.003     2.6     2   1    io                      
       0.047         0.049         0.051         0.002         0.033     0.7     1   2    hydro - set unew        
       0.041         0.045         0.051         0.004         0.081     0.7     2   1    courant                 
       5.044         5.059         5.074         0.013         0.002    75.6     2   4    hydro - godunov         
       0.215         0.229         0.246         0.014         0.059     3.4     4   2    hydro - rev ghostzones  
       0.037         0.037         0.038         0.001         0.016     0.6     3   1    hydro - set uold        
       0.009         0.010         0.010         0.000         0.024     0.1     1   2    cooling                 
       0.061         0.061         0.061         0.000         0.004     0.9     2   4    hydro - ghostzones      
       0.071         0.071         0.071         0.000         0.004     1.1     3   1    flag                    
       6.694     100.0    TOTAL
