 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.297         0.297         0.298         0.000         0.001     3.2     2   4    coarse levels           
       0.189         0.189         0.189         0.000         0.001     2.0     4   2    refine                  
       0.163         0.163         0.163         0.000         0.000     1.7     3   4    load balance            
       0.689         0.693         0.695         0.002         0.003     7.4     1   3    particles               
       0.252         0.252         0.254         0.001         0.002     2.7     4   1    io                      
       0.065         0.068         0.072         0.002         0.034     0.7     1   2    hydro - set unew        
       0.060         0.065         0.073         0.005         0.077     0.7     2   1    courant                 
       7.048         7.069         7.092         0.017         0.002    75.3     2   4    hydro - godunov         
       0.313         0.335         0.357         0.016         0.048     3.6     4   2    hydro - rev ghostzones  
       0.052         0.053         0.055         0.001         0.026     0.6     3   1    hydro - set uold        
       0.013         0.014         0.014         0.000         0.030     0.1     4   3    cooling                 
       0.087         0.087         0.088         0.000         0.006     0.9     3   4    hydro - ghostzones      
       0.099         0.099         0.099         0.000         0.002     1.1     2   1    flag                    
       9.393     100.0    TOTAL
