 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.094         0.094         0.094         0.000         0.001     2.8     2   4    coarse levels           
       0.068         0.068         0.069         0.000         0.001     2.1     4   2    refine                  
       0.060         0.060         0.060         0.000         0.000     1.8     2   4    load balance            
       0.238         0.239         0.242         0.002         0.007     7.2     4   3    particles               
       0.093         0.093         0.093         0.000         0.002     2.8     2   1    io                      
       0.024         0.025         0.026         0.001         0.034     0.8     4   2    hydro - set unew        
       0.017         0.019         0.021         0.002         0.095     0.6     3   1    courant                 
       2.512         2.518         2.525         0.005         0.002    75.9     1   4    hydro - godunov         
       0.108         0.115         0.120         0.005         0.042     3.5     4   1    hydro - rev ghostzones  
       0.018         0.019         0.020         0.001         0.050     0.6     2   4    hydro - set uold        
       0.004         0.005         0.005         0.000         0.015     0.1     4   1    cooling                 
       0.026         0.026         0.026         0.000         0.004     0.8     1   4    hydro - ghostzones      
       0.031         0.031         0.031         0.000         0.001     0.9     4   2    flag                    
       3.316     100.0    TOTAL
