 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.843         0.844         0.845         0.001         0.001     4.0     1   4    coarse levels           
       0.411         0.411         0.412         0.000         0.001     2.0     4   1    refine                  
       0.322         0.322         0.322         0.000         0.000     1.5     3   4    load balance            
       1.547         1.558         1.565         0.006         0.004     7.4     1   3    particles               
       0.588         0.589         0.591         0.001         0.002     2.8     3   1    io                      
       0.145         0.152         0.158         0.005         0.034     0.7     1   2    hydro - set unew        
       0.148         0.157         0.180         0.013         0.082     0.7     3   1    courant                 
      15.628        15.678        15.728         0.044         0.003    74.4     2   4    hydro - godunov         
       0.716         0.762         0.816         0.042         0.055     3.6     4   2    hydro - rev ghostzones  
       0.117         0.121         0.125         0.003         0.022     0.6     3   1    hydro - set uold        
       0.029         0.030         0.031         0.001         0.026     0.1     4   3    cooling                 
       0.228         0.228         0.230         0.001         0.005     1.1     1   4    hydro - ghostzones      
       0.210         0.210         0.211         0.000         0.002     1.0     2   1    flag                    
      21.083     100.0    TOTAL
