 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.079         0.079         0.079         0.000         0.001     2.8     2   4    coarse levels           
       0.060         0.060         0.060         0.000         0.001     2.1     4   2    refine                  
       0.049         0.049         0.049         0.000         0.000     1.7     2   4    load balance            
       0.205         0.207         0.209         0.001         0.006     7.2     4   3    particles               
       0.079         0.079         0.079         0.000         0.002     2.8     4   1    io                      
       0.020         0.021         0.022         0.001         0.033     0.7     4   2    hydro - set unew        
       0.014         0.016         0.018         0.001         0.094     0.6     3   1    courant                 
       2.161         2.169         2.177         0.006         0.003    76.1     1   3    hydro - godunov         
       0.092         0.099         0.106         0.006         0.058     3.5     3   1    hydro - rev ghostzones  
       0.016         0.016         0.017         0.001         0.049     0.6     2   4    hydro - set uold        
       0.004         0.004         0.004         0.000         0.024     0.1     4   1    cooling                 
       0.022         0.023         0.023         0.000         0.005     0.8     1   4    hydro - ghostzones      
       0.026         0.026         0.026         0.000         0.000     0.9     3   2    flag                    
       2.851     100.0    TOTAL
