 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.693         1.694         1.696         0.001         0.001     3.5     2   4    coarse levels           
       0.925         0.927         0.928         0.001         0.001     1.9     4   1    refine                  
       0.747         0.747         0.747         0.000         0.000     1.5     3   2    load balance            
       3.692         3.725         3.772         0.030         0.008     7.7     1   4    particles               
       1.260         1.261         1.267         0.003         0.002     2.6     2   1    io                      
       0.340         0.356         0.365         0.010         0.028     0.7     1   2    hydro - set unew        
       0.371         0.428         0.490         0.042         0.099     0.9     4   1    courant                 
      36.008        36.172        36.392         0.155         0.004    74.7     2   4    hydro - godunov         
       1.582         1.795         1.968         0.149         0.083     3.7     4   2    hydro - rev ghostzones  
       0.271         0.280         0.285         0.006         0.020     0.6     3   1    hydro - set uold        
       0.067         0.069         0.072         0.002         0.028     0.1     4   3    cooling                 
       0.469         0.472         0.475         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.478         0.479         0.480         0.001         0.002     1.0     4   1    flag                    
      48.449     100.0    TOTAL
