 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.609         0.609         0.610         0.001         0.001     3.7     2   4    coarse levels           
       0.328         0.328         0.329         0.000         0.001     2.0     4   1    refine                  
       0.265         0.265         0.265         0.000         0.000     1.6     3   4    load balance            
       1.208         1.217         1.223         0.006         0.005     7.4     1   3    particles               
       0.474         0.474         0.476         0.001         0.002     2.9     3   1    io                      
       0.114         0.120         0.126         0.004         0.036     0.7     1   2    hydro - set unew        
       0.113         0.121         0.138         0.010         0.084     0.7     3   1    courant                 
      12.279        12.315        12.358         0.036         0.003    74.5     2   4    hydro - godunov         
       0.552         0.593         0.632         0.034         0.057     3.6     4   2    hydro - rev ghostzones  
       0.092         0.095         0.099         0.002         0.025     0.6     3   1    hydro - set uold        
       0.023         0.024         0.025         0.001         0.033     0.1     4   3    cooling                 
       0.181         0.182         0.183         0.001         0.006     1.1     3   4    hydro - ghostzones      
       0.166         0.166         0.166         0.000         0.002     1.0     4   1    flag                    
      16.524     100.0    TOTAL
