 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.803         1.805         1.807         0.001         0.001     3.5     2   4    coarse levels           
       0.987         0.989         0.990         0.001         0.001     1.9     4   1    refine                  
       0.784         0.784         0.784         0.000         0.000     1.5     1   4    load balance            
       3.931         3.964         4.011         0.030         0.007     7.7     1   4    particles               
       1.343         1.344         1.350         0.003         0.002     2.6     2   1    io                      
       0.365         0.381         0.391         0.010         0.027     0.7     1   2    hydro - set unew        
       0.399         0.456         0.519         0.043         0.094     0.9     4   1    courant                 
      38.505        38.661        38.891         0.162         0.004    74.7     2   4    hydro - godunov         
       1.695         1.918         2.082         0.156         0.081     3.7     4   2    hydro - rev ghostzones  
       0.289         0.298         0.303         0.006         0.019     0.6     3   1    hydro - set uold        
       0.072         0.074         0.077         0.002         0.026     0.1     4   3    cooling                 
       0.496         0.498         0.501         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.509         0.510         0.511         0.001         0.002     1.0     4   1    flag                    
      51.727     100.0    TOTAL
