 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.385         1.386         1.387         0.001         0.001     3.6     2   4    coarse levels           
       0.741         0.742         0.743         0.001         0.001     1.9     4   1    refine                  
       0.598         0.598         0.598         0.000         0.000     1.6     3   4    load balance            
       2.978         3.008         3.054         0.028         0.009     7.8     1   4    particles               
       1.017         1.018         1.023         0.003         0.002     2.6     3   1    io                      
       0.270         0.284         0.292         0.008         0.029     0.7     1   2    hydro - set unew        
       0.305         0.359         0.413         0.038         0.106     0.9     4   1    courant                 
      28.515        28.639        28.793         0.113         0.004    74.3     2   4    hydro - godunov         
       1.276         1.425         1.555         0.109         0.076     3.7     4   2    hydro - rev ghostzones  
       0.216         0.222         0.227         0.004         0.018     0.6     3   1    hydro - set uold        
       0.051         0.053         0.056         0.002         0.029     0.1     4   3    cooling                 
       0.373         0.375         0.378         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.383         0.383         0.384         0.001         0.001     1.0     4   1    flag                    
      38.526     100.0    TOTAL
