 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.240         0.241         0.241         0.000         0.001     3.1     2   3    coarse levels           
       0.157         0.157         0.158         0.000         0.001     2.0     4   2    refine                  
       0.135         0.135         0.135         0.000         0.000     1.7     3   4    load balance            
       0.566         0.567         0.568         0.001         0.002     7.3     1   2    particles               
       0.209         0.209         0.210         0.001         0.002     2.7     4   1    io                      
       0.055         0.056         0.059         0.002         0.031     0.7     1   2    hydro - set unew        
       0.049         0.053         0.059         0.004         0.070     0.7     2   1    courant                 
       5.834         5.857         5.883         0.017         0.003    75.5     2   4    hydro - godunov         
       0.243         0.268         0.293         0.017         0.065     3.5     4   2    hydro - rev ghostzones  
       0.042         0.043         0.043         0.000         0.007     0.6     3   1    hydro - set uold        
       0.011         0.011         0.011         0.000         0.016     0.1     4   3    cooling                 
       0.070         0.071         0.071         0.000         0.003     0.9     3   4    hydro - ghostzones      
       0.081         0.082         0.082         0.000         0.003     1.1     3   1    flag                    
       7.757     100.0    TOTAL
