 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.359         0.359         0.360         0.000         0.001     3.1     2   4    coarse levels           
       0.230         0.230         0.230         0.000         0.001     2.0     4   2    refine                  
       0.200         0.200         0.200         0.000         0.000     1.7     3   4    load balance            
       0.837         0.841         0.844         0.003         0.003     7.3     1   4    particles               
       0.314         0.315         0.316         0.001         0.002     2.7     4   1    io                      
       0.080         0.084         0.087         0.003         0.031     0.7     1   2    hydro - set unew        
       0.074         0.079         0.090         0.006         0.077     0.7     2   1    courant                 
       8.605         8.635         8.661         0.023         0.003    75.3     2   3    hydro - godunov         
       0.379         0.404         0.435         0.022         0.055     3.5     3   2    hydro - rev ghostzones  
       0.065         0.067         0.069         0.001         0.020     0.6     3   1    hydro - set uold        
       0.016         0.017         0.017         0.001         0.036     0.1     4   3    cooling                 
       0.104         0.104         0.106         0.001         0.007     0.9     3   4    hydro - ghostzones      
       0.117         0.118         0.118         0.000         0.001     1.0     2   1    flag                    
      11.463     100.0    TOTAL
