 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.641         1.642         1.644         0.001         0.001     3.5     2   4    coarse levels           
       0.895         0.896         0.897         0.001         0.001     1.9     4   1    refine                  
       0.723         0.723         0.723         0.000         0.000     1.5     3   2    load balance            
       3.575         3.608         3.656         0.030         0.008     7.7     1   4    particles               
       1.220         1.222         1.227         0.003         0.003     2.6     2   1    io                      
       0.329         0.345         0.354         0.010         0.029     0.7     1   2    hydro - set unew        
       0.360         0.417         0.479         0.042         0.100     0.9     4   1    courant                 
      34.682        34.851        35.074         0.158         0.005    74.6     2   4    hydro - godunov         
       1.523         1.739         1.917         0.153         0.088     3.7     4   2    hydro - rev ghostzones  
       0.262         0.270         0.275         0.005         0.019     0.6     3   1    hydro - set uold        
       0.064         0.066         0.068         0.002         0.024     0.1     4   3    cooling                 
       0.452         0.454         0.457         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.462         0.463         0.463         0.001         0.001     1.0     4   1    flag                    
      46.738     100.0    TOTAL
