 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.016         0.016         0.016         0.000         0.001     3.0     1   2    coarse levels           
       0.014         0.014         0.014         0.000         0.001     2.6     4   2    refine                  
       0.015         0.015         0.015         0.000         0.000     2.9     1   4    load balance            
       0.040         0.040         0.040         0.000         0.002     7.5     3   2    particles               
       0.014         0.014         0.014         0.000         0.003     2.6     4   1    io                      
       0.004         0.004         0.005         0.000         0.043     0.8     4   2    hydro - set unew        
       0.002         0.003         0.003         0.000         0.105     0.5     2   3    courant                 
       0.387         0.392         0.397         0.004         0.009    73.6     2   4    hydro - godunov         
       0.017         0.022         0.027         0.004         0.167     4.0     4   2    hydro - rev ghostzones  
       0.003         0.003         0.003         0.000         0.023     0.6     3   4    hydro - set uold        
       0.001         0.001         0.001         0.000         0.033     0.1     3   1    cooling                 
       0.003         0.004         0.004         0.000         0.006     0.7     2   3    hydro - ghostzones      
       0.005         0.005         0.005         0.000         0.004     0.9     1   2    flag                    
       0.533     100.0    TOTAL
