 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.385         0.385         0.385         0.000         0.001     3.1     2   4    coarse levels           
       0.249         0.249         0.250         0.000         0.001     2.0     4   2    refine                  
       0.213         0.213         0.213         0.000         0.000     1.7     3   4    load balance            
       0.907         0.911         0.914         0.003         0.003     7.3     1   3    particles               
       0.343         0.344         0.345         0.001         0.002     2.8     4   1    io                      
       0.087         0.091         0.095         0.003         0.033     0.7     1   2    hydro - set unew        
       0.081         0.086         0.097         0.007         0.076     0.7     2   1    courant                 
       9.334         9.361         9.388         0.023         0.002    75.4     2   4    hydro - godunov         
       0.413         0.439         0.468         0.022         0.050     3.5     4   2    hydro - rev ghostzones  
       0.071         0.073         0.075         0.001         0.019     0.6     3   1    hydro - set uold        
       0.017         0.018         0.019         0.001         0.033     0.1     4   3    cooling                 
       0.112         0.113         0.114         0.001         0.006     0.9     3   4    hydro - ghostzones      
       0.125         0.125         0.126         0.000         0.001     1.0     2   1    flag                    
      12.419     100.0    TOTAL
