 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.314         0.315         0.315         0.000         0.001     3.2     2   4    coarse levels           
       0.197         0.198         0.198         0.000         0.001     2.0     4   2    refine                  
       0.175         0.175         0.176         0.000         0.000     1.8     3   4    load balance            
       0.725         0.729         0.732         0.003         0.004     7.4     1   3    particles               
       0.271         0.271         0.273         0.001         0.002     2.7     4   1    io                      
       0.069         0.072         0.076         0.002         0.033     0.7     1   2    hydro - set unew        
       0.064         0.069         0.078         0.005         0.078     0.7     2   1    courant                 
       7.413         7.436         7.459         0.018         0.002    75.2     2   4    hydro - godunov         
       0.329         0.351         0.376         0.017         0.049     3.6     4   2    hydro - rev ghostzones  
       0.055         0.057         0.059         0.001         0.026     0.6     3   1    hydro - set uold        
       0.014         0.014         0.015         0.000         0.030     0.1     4   3    cooling                 
       0.091         0.091         0.092         0.001         0.006     0.9     3   4    hydro - ghostzones      
       0.104         0.104         0.104         0.000         0.001     1.0     2   1    flag                    
       9.892     100.0    TOTAL
