 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.465         1.466         1.468         0.001         0.001     3.6     2   4    coarse levels           
       0.794         0.795         0.796         0.001         0.001     1.9     4   1    refine                  
       0.637         0.637         0.637         0.000         0.000     1.5     3   4    load balance            
       3.169         3.200         3.247         0.029         0.009     7.8     1   4    particles               
       1.084         1.085         1.090         0.003         0.003     2.6     3   1    io                      
       0.291         0.305         0.314         0.009         0.029     0.7     1   2    hydro - set unew        
       0.324         0.379         0.436         0.039         0.104     0.9     4   1    courant                 
      30.591        30.737        30.898         0.124         0.004    74.5     2   4    hydro - godunov         
       1.371         1.526         1.680         0.120         0.079     3.7     4   2    hydro - rev ghostzones  
       0.231         0.238         0.242         0.004         0.018     0.6     3   1    hydro - set uold        
       0.055         0.057         0.059         0.002         0.028     0.1     4   3    cooling                 
       0.394         0.397         0.399         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.406         0.407         0.407         0.000         0.001     1.0     4   1    flag                    
      41.265     100.0    TOTAL
