 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.043         0.043         0.043         0.000         0.000     2.9     2   1    coarse levels           
       0.033         0.033         0.033         0.000         0.001     2.2     4   2    refine                  
       0.037         0.037         0.037         0.000         0.000     2.5     1   3    load balance            
       0.107         0.108         0.109         0.001         0.007     7.2     4   2    particles               
       0.043         0.043         0.043         0.000         0.003     2.9     4   1    io                      
       0.011         0.012         0.012         0.000         0.025     0.8     4   2    hydro - set unew        
       0.007         0.007         0.008         0.001         0.085     0.5     2   1    courant                 
       1.114         1.119         1.121         0.003         0.003    74.6     1   4    hydro - godunov         
       0.056         0.058         0.062         0.002         0.042     3.9     4   1    hydro - rev ghostzones  
       0.008         0.009         0.010         0.001         0.081     0.6     2   4    hydro - set uold        
       0.002         0.002         0.002         0.000         0.072     0.1     1   2    cooling                 
       0.012         0.012         0.012         0.000         0.013     0.8     2   1    hydro - ghostzones      
       0.015         0.015         0.015         0.000         0.001     1.0     3   4    flag                    
       1.499     100.0    TOTAL
