 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.198         1.199         1.200         0.001         0.001     3.7     2   4    coarse levels           
       0.631         0.632         0.633         0.001         0.001     1.9     4   1    refine                  
       0.504         0.504         0.504         0.000         0.000     1.5     3   4    load balance            
       2.536         2.566         2.613         0.029         0.011     7.8     1   4    particles               
       0.880         0.881         0.885         0.002         0.002     2.7     3   1    io                      
       0.228         0.239         0.247         0.007         0.030     0.7     1   2    hydro - set unew        
       0.257         0.311         0.360         0.036         0.116     0.9     4   1    courant                 
      24.250        24.358        24.472         0.090         0.004    74.3     2   4    hydro - godunov         
       1.080         1.189         1.304         0.087         0.073     3.6     4   2    hydro - rev ghostzones  
       0.182         0.189         0.194         0.004         0.024     0.6     3   1    hydro - set uold        
       0.045         0.046         0.048         0.001         0.029     0.1     4   3    cooling                 
       0.325         0.327         0.329         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.326         0.327         0.328         0.001         0.002     1.0     3   1    flag                    
      32.797     100.0    TOTAL
