 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.657         0.658         0.659         0.001         0.001     3.6     2   4    coarse levels           
       0.361         0.362         0.362         0.000         0.001     2.0     4   1    refine                  
       0.287         0.287         0.287         0.000         0.000     1.6     3   4    load balance            
       1.328         1.336         1.343         0.005         0.004     7.4     1   3    particles               
       0.519         0.520         0.521         0.001         0.002     2.9     3   1    io                      
       0.125         0.132         0.137         0.005         0.035     0.7     1   2    hydro - set unew        
       0.124         0.133         0.152         0.011         0.081     0.7     3   1    courant                 
      13.509        13.547        13.593         0.036         0.003    74.6     2   4    hydro - godunov         
       0.606         0.650         0.691         0.034         0.052     3.6     4   2    hydro - rev ghostzones  
       0.102         0.104         0.107         0.002         0.019     0.6     3   1    hydro - set uold        
       0.025         0.026         0.028         0.001         0.036     0.1     4   3    cooling                 
       0.194         0.196         0.197         0.001         0.006     1.1     3   4    hydro - ghostzones      
       0.182         0.182         0.183         0.000         0.002     1.0     2   1    flag                    
      18.149     100.0    TOTAL
