 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.499         1.501         1.502         0.001         0.001     3.5     2   4    coarse levels           
       0.814         0.815         0.816         0.001         0.001     1.9     4   1    refine                  
       0.661         0.661         0.661         0.000         0.000     1.6     3   4    load balance            
       3.250         3.282         3.329         0.030         0.009     7.7     1   4    particles               
       1.115         1.117         1.122         0.003         0.003     2.6     3   1    io                      
       0.298         0.313         0.321         0.009         0.029     0.7     1   2    hydro - set unew        
       0.331         0.388         0.446         0.041         0.105     0.9     4   1    courant                 
      31.398        31.546        31.717         0.131         0.004    74.5     2   4    hydro - godunov         
       1.403         1.568         1.723         0.127         0.081     3.7     4   2    hydro - rev ghostzones  
       0.236         0.244         0.249         0.005         0.019     0.6     3   1    hydro - set uold        
       0.057         0.059         0.062         0.002         0.033     0.1     4   3    cooling                 
       0.404         0.408         0.411         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.418         0.419         0.419         0.001         0.001     1.0     4   1    flag                    
      42.356     100.0    TOTAL
