 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.996         0.997         0.998         0.001         0.001     3.8     2   4    coarse levels           
       0.503         0.504         0.504         0.001         0.001     1.9     4   1    refine                  
       0.402         0.402         0.402         0.000         0.000     1.5     3   4    load balance            
       2.061         2.075         2.083         0.008         0.004     7.9     1   3    particles               
       0.709         0.710         0.713         0.002         0.002     2.7     3   1    io                      
       0.179         0.189         0.194         0.006         0.033     0.7     1   2    hydro - set unew        
       0.185         0.197         0.225         0.016         0.082     0.8     3   1    courant                 
      19.354        19.430        19.508         0.062         0.003    74.1     2   4    hydro - godunov         
       0.882         0.956         1.036         0.060         0.062     3.6     4   2    hydro - rev ghostzones  
       0.146         0.150         0.155         0.003         0.021     0.6     3   1    hydro - set uold        
       0.036         0.037         0.038         0.001         0.028     0.1     4   3    cooling                 
       0.275         0.276         0.278         0.001         0.004     1.1     3   4    hydro - ghostzones      
       0.262         0.263         0.263         0.000         0.002     1.0     3   1    flag                    
      26.207     100.0    TOTAL
