 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.329         1.330         1.331         0.001         0.001     3.6     2   4    coarse levels           
       0.713         0.714         0.715         0.001         0.001     1.9     4   1    refine                  
       0.574         0.574         0.574         0.000         0.000     1.6     3   4    load balance            
       2.855         2.886         2.931         0.028         0.010     7.8     1   4    particles               
       0.974         0.975         0.979         0.002         0.002     2.6     3   1    io                      
       0.258         0.271         0.279         0.008         0.029     0.7     1   2    hydro - set unew        
       0.295         0.348         0.401         0.037         0.108     0.9     4   1    courant                 
      27.343        27.454        27.588         0.102         0.004    74.3     2   4    hydro - godunov         
       1.237         1.366         1.483         0.098         0.072     3.7     4   2    hydro - rev ghostzones  
       0.206         0.213         0.218         0.004         0.021     0.6     3   1    hydro - set uold        
       0.049         0.051         0.053         0.001         0.029     0.1     4   3    cooling                 
       0.360         0.362         0.365         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.367         0.367         0.368         0.001         0.001     1.0     4   1    flag                    
      36.944     100.0    TOTAL
