 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.429         0.430         0.430         0.000         0.001     3.2     2   4    coarse levels           
       0.273         0.273         0.274         0.000         0.001     2.0     4   1    refine                  
       0.225         0.225         0.225         0.000         0.000     1.7     3   4    load balance            
       1.002         1.007         1.012         0.004         0.004     7.4     1   3    particles               
       0.366         0.367         0.368         0.001         0.002     2.7     4   1    io                      
       0.094         0.099         0.103         0.003         0.033     0.7     1   2    hydro - set unew        
       0.091         0.097         0.110         0.008         0.079     0.7     3   1    courant                 
      10.180        10.207        10.238         0.026         0.003    75.2     2   4    hydro - godunov         
       0.461         0.490         0.520         0.024         0.049     3.6     4   2    hydro - rev ghostzones  
       0.077         0.079         0.082         0.002         0.021     0.6     3   1    hydro - set uold        
       0.019         0.020         0.021         0.001         0.028     0.1     4   3    cooling                 
       0.124         0.125         0.126         0.001         0.006     0.9     3   4    hydro - ghostzones      
       0.139         0.140         0.140         0.000         0.002     1.0     4   1    flag                    
      13.572     100.0    TOTAL
