 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.035         1.036         1.037         0.001         0.001     3.8     2   4    coarse levels           
       0.531         0.531         0.532         0.001         0.001     1.9     4   1    refine                  
       0.414         0.414         0.414         0.000         0.000     1.5     3   4    load balance            
       2.157         2.171         2.179         0.008         0.004     7.9     1   3    particles               
       0.738         0.739         0.742         0.002         0.002     2.7     3   1    io                      
       0.187         0.197         0.203         0.007         0.033     0.7     1   2    hydro - set unew        
       0.194         0.206         0.236         0.017         0.082     0.8     3   1    courant                 
      20.204        20.285        20.378         0.067         0.003    74.1     2   4    hydro - godunov         
       0.911         1.000         1.085         0.065         0.065     3.7     4   2    hydro - rev ghostzones  
       0.153         0.158         0.162         0.003         0.020     0.6     3   1    hydro - set uold        
       0.037         0.038         0.040         0.001         0.028     0.1     4   3    cooling                 
       0.284         0.285         0.287         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.276         0.276         0.277         0.000         0.001     1.0     3   1    flag                    
      27.360     100.0    TOTAL
