 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.182         1.183         1.184         0.001         0.001     3.7     2   4    coarse levels           
       0.623         0.624         0.624         0.001         0.001     1.9     4   1    refine                  
       0.492         0.492         0.492         0.000         0.000     1.5     3   4    load balance            
       2.497         2.513         2.523         0.009         0.004     7.8     1   3    particles               
       0.866         0.867         0.871         0.002         0.002     2.7     3   1    io                      
       0.223         0.234         0.242         0.008         0.033     0.7     1   2    hydro - set unew        
       0.227         0.242         0.275         0.019         0.080     0.8     2   1    courant                 
      23.845        23.942        24.053         0.085         0.004    74.4     2   4    hydro - godunov         
       1.067         1.173         1.277         0.082         0.070     3.6     4   2    hydro - rev ghostzones  
       0.179         0.186         0.191         0.004         0.023     0.6     3   1    hydro - set uold        
       0.044         0.045         0.047         0.001         0.030     0.1     4   3    cooling                 
       0.321         0.323         0.325         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.321         0.321         0.322         0.000         0.001     1.0     3   1    flag                    
      32.172     100.0    TOTAL
