 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.260         0.260         0.261         0.000         0.001     3.1     2   4    coarse levels           
       0.167         0.167         0.168         0.000         0.001     2.0     4   2    refine                  
       0.150         0.150         0.150         0.000         0.000     1.8     3   4    load balance            
       0.609         0.611         0.613         0.002         0.003     7.4     1   3    particles               
       0.220         0.220         0.221         0.001         0.003     2.6     4   1    io                      
       0.058         0.061         0.064         0.002         0.033     0.7     1   2    hydro - set unew        
       0.054         0.058         0.065         0.004         0.075     0.7     2   1    courant                 
       6.237         6.262         6.286         0.018         0.003    75.3     2   4    hydro - godunov         
       0.269         0.292         0.318         0.018         0.062     3.5     4   2    hydro - rev ghostzones  
       0.045         0.046         0.047         0.001         0.013     0.6     3   1    hydro - set uold        
       0.011         0.012         0.012         0.000         0.023     0.1     4   3    cooling                 
       0.078         0.078         0.078         0.000         0.004     0.9     3   4    hydro - ghostzones      
       0.088         0.088         0.089         0.000         0.003     1.1     2   1    flag                    
       8.313     100.0    TOTAL
