 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.963         0.964         0.965         0.001         0.001     3.9     2   4    coarse levels           
       0.483         0.484         0.484         0.000         0.001     1.9     4   1    refine                  
       0.386         0.386         0.386         0.000         0.000     1.5     3   4    load balance            
       1.979         1.991         1.999         0.007         0.004     8.0     1   3    particles               
       0.681         0.682         0.685         0.002         0.003     2.7     3   1    io                      
       0.172         0.181         0.187         0.006         0.033     0.7     1   2    hydro - set unew        
       0.177         0.189         0.215         0.015         0.080     0.8     3   1    courant                 
      18.426        18.501        18.574         0.063         0.003    74.0     2   4    hydro - godunov         
       0.846         0.915         0.994         0.060         0.066     3.7     4   2    hydro - rev ghostzones  
       0.140         0.144         0.149         0.003         0.022     0.6     3   1    hydro - set uold        
       0.034         0.035         0.037         0.001         0.028     0.1     4   3    cooling                 
       0.266         0.267         0.269         0.001         0.004     1.1     3   4    hydro - ghostzones      
       0.251         0.252         0.253         0.000         0.002     1.0     3   1    flag                    
      25.013     100.0    TOTAL
