 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.256         1.257         1.258         0.001         0.001     3.6     2   4    coarse levels           
       0.666         0.667         0.668         0.001         0.001     1.9     4   1    refine                  
       0.534         0.534         0.534         0.000         0.000     1.5     3   4    load balance            
       2.671         2.701         2.748         0.029         0.011     7.8     1   4    particles               
       0.920         0.922         0.926         0.002         0.002     2.7     3   1    io                      
       0.241         0.253         0.261         0.007         0.030     0.7     1   2    hydro - set unew        
       0.274         0.327         0.377         0.036         0.112     0.9     4   1    courant                 
      25.631        25.726        25.847         0.090         0.004    74.3     2   4    hydro - godunov         
       1.142         1.258         1.359         0.086         0.069     3.6     4   2    hydro - rev ghostzones  
       0.193         0.199         0.204         0.004         0.021     0.6     3   1    hydro - set uold        
       0.047         0.048         0.050         0.001         0.030     0.1     4   3    cooling                 
       0.338         0.341         0.343         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.343         0.343         0.344         0.001         0.001     1.0     4   1    flag                    
      34.606     100.0    TOTAL
