 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.097         1.098         1.099         0.001         0.001     3.7     2   4    coarse levels           
       0.568         0.569         0.570         0.001         0.001     1.9     4   1    refine                  
       0.453         0.453         0.453         0.000         0.000     1.5     3   4    load balance            
       2.310         2.324         2.333         0.009         0.004     7.9     1   3    particles               
       0.797         0.798         0.801         0.002         0.002     2.7     3   1    io                      
       0.203         0.213         0.220         0.007         0.031     0.7     1   2    hydro - set unew        
       0.208         0.221         0.251         0.017         0.079     0.8     3   1    courant                 
      21.784        21.868        21.974         0.076         0.003    74.3     2   4    hydro - godunov         
       0.970         1.071         1.161         0.073         0.068     3.6     4   2    hydro - rev ghostzones  
       0.164         0.170         0.174         0.004         0.021     0.6     3   1    hydro - set uold        
       0.040         0.041         0.043         0.001         0.027     0.1     4   3    cooling                 
       0.300         0.301         0.303         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.294         0.295         0.296         0.000         0.001     1.0     3   1    flag                    
      29.448     100.0    TOTAL
