 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.141         0.142         0.142         0.000         0.002     2.9     2   4    coarse levels           
       0.100         0.101         0.101         0.000         0.001     2.0     4   1    refine                  
       0.090         0.090         0.090         0.000         0.000     1.8     3   4    load balance            
       0.356         0.358         0.360         0.002         0.005     7.2     1   3    particles               
       0.128         0.129         0.129         0.000         0.003     2.6     2   1    io                      
       0.035         0.037         0.038         0.001         0.029     0.7     4   2    hydro - set unew        
       0.026         0.029         0.032         0.003         0.089     0.6     3   1    courant                 
       3.762         3.774         3.784         0.008         0.002    76.3     2   4    hydro - godunov         
       0.153         0.162         0.175         0.009         0.053     3.3     4   2    hydro - rev ghostzones  
       0.027         0.028         0.029         0.001         0.033     0.6     3   1    hydro - set uold        
       0.006         0.007         0.007         0.000         0.053     0.1     4   2    cooling                 
       0.039         0.040         0.041         0.000         0.011     0.8     2   4    hydro - ghostzones      
       0.047         0.047         0.047         0.000         0.001     1.0     4   3    flag                    
       4.947     100.0    TOTAL
