 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.363         1.364         1.366         0.001         0.001     3.6     2   4    coarse levels           
       0.731         0.732         0.733         0.001         0.001     1.9     4   1    refine                  
       0.598         0.598         0.598         0.000         0.000     1.6     1   4    load balance            
       2.939         2.969         3.015         0.028         0.009     7.8     1   4    particles               
       1.004         1.006         1.010         0.003         0.002     2.6     3   1    io                      
       0.268         0.281         0.289         0.008         0.029     0.7     1   2    hydro - set unew        
       0.303         0.357         0.410         0.038         0.106     0.9     4   1    courant                 
      28.152        28.272        28.412         0.107         0.004    74.3     2   4    hydro - godunov         
       1.267         1.402         1.528         0.103         0.073     3.7     4   2    hydro - rev ghostzones  
       0.213         0.219         0.224         0.004         0.018     0.6     3   1    hydro - set uold        
       0.051         0.052         0.055         0.001         0.028     0.1     4   3    cooling                 
       0.369         0.371         0.373         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.376         0.376         0.377         0.001         0.001     1.0     4   1    flag                    
      38.032     100.0    TOTAL
