 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.219         1.220         1.221         0.001         0.001     3.6     2   4    coarse levels           
       0.642         0.643         0.644         0.001         0.001     1.9     4   1    refine                  
       0.504         0.504         0.504         0.000         0.000     1.5     3   4    load balance            
       2.584         2.614         2.662         0.029         0.011     7.8     1   4    particles               
       0.893         0.894         0.898         0.002         0.002     2.7     3   1    io                      
       0.233         0.244         0.252         0.007         0.030     0.7     1   2    hydro - set unew        
       0.264         0.317         0.367         0.036         0.115     0.9     4   1    courant                 
      24.742        24.848        24.968         0.092         0.004    74.3     2   4    hydro - godunov         
       1.096         1.211         1.324         0.089         0.073     3.6     4   2    hydro - rev ghostzones  
       0.186         0.192         0.198         0.004         0.023     0.6     3   1    hydro - set uold        
       0.045         0.046         0.049         0.001         0.028     0.1     4   3    cooling                 
       0.331         0.333         0.335         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.332         0.332         0.333         0.001         0.002     1.0     4   1    flag                    
      33.429     100.0    TOTAL
