 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.983         0.984         0.985         0.001         0.001     3.8     2   4    coarse levels           
       0.494         0.495         0.495         0.001         0.001     1.9     4   1    refine                  
       0.401         0.402         0.402         0.000         0.000     1.6     3   4    load balance            
       2.021         2.034         2.042         0.008         0.004     7.9     1   3    particles               
       0.696         0.697         0.700         0.002         0.002     2.7     3   1    io                      
       0.176         0.185         0.191         0.006         0.033     0.7     1   2    hydro - set unew        
       0.182         0.194         0.221         0.016         0.082     0.8     3   1    courant                 
      18.874        18.949        19.022         0.061         0.003    74.0     2   4    hydro - godunov         
       0.865         0.934         1.013         0.059         0.063     3.6     4   2    hydro - rev ghostzones  
       0.143         0.147         0.152         0.003         0.023     0.6     3   1    hydro - set uold        
       0.035         0.036         0.038         0.001         0.029     0.1     4   3    cooling                 
       0.270         0.271         0.273         0.001         0.004     1.1     3   4    hydro - ghostzones      
       0.257         0.257         0.258         0.000         0.002     1.0     3   1    flag                    
      25.607     100.0    TOTAL
