 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.911         0.911         0.912         0.001         0.001     3.9     2   4    coarse levels           
       0.452         0.453         0.453         0.000         0.001     2.0     4   1    refine                  
       0.359         0.359         0.359         0.000         0.000     1.5     3   4    load balance            
       1.706         1.717         1.725         0.007         0.004     7.4     1   3    particles               
       0.643         0.644         0.646         0.001         0.002     2.8     3   1    io                      
       0.160         0.168         0.174         0.005         0.031     0.7     1   2    hydro - set unew        
       0.164         0.174         0.198         0.014         0.079     0.8     3   1    courant                 
      17.202        17.273        17.338         0.057         0.003    74.4     2   4    hydro - godunov         
       0.779         0.841         0.916         0.055         0.066     3.6     4   2    hydro - rev ghostzones  
       0.130         0.133         0.137         0.003         0.019     0.6     3   1    hydro - set uold        
       0.032         0.033         0.034         0.001         0.027     0.1     4   3    cooling                 
       0.244         0.245         0.247         0.001         0.005     1.1     1   4    hydro - ghostzones      
       0.230         0.230         0.231         0.000         0.002     1.0     2   1    flag                    
      23.202     100.0    TOTAL
